"Stad";"Gemeente"
"Aadorp";"Almelo"
"Aagtekerke";"Veere"
"Aalden";"Coevorden"
"Aalsmeer";"Aalsmeer"
"Aalsmeerderbrug";"Haarlemmermeer"
"Aalst";"Zaltbommel"
"Aalsum";"Dongeradeel"
"Aalten";"Aalten"
"Ter Aar";"Nieuwkoop"
"Ter Aard";"Assen"
"Aardenburg";"Sluis"
"Aarlanderveen";"AlphenaandenRijn"
"Aarle-Rixtel";"Laarbeek"
"Aartswoud";"Opmeer"
"Abbega";"Súdwest-Fryslân"
"Abbekerk";"Medemblik"
"Abbenbroek";"Nissewaard"
"Abbenes";"Haarlemmermeer"
"Abcoude";"DeRondeVenen"
"Achlum";"Franekeradeel"
"Achterveld";"Barneveld"
"Achterveld";"Leusden"
"Achthuizen";"Goeree-Overflakkee"
"Achtmaal";"Zundert"
"Acquoy";"Geldermalsen"
"Adorp";"Winsum"
"Aduard";"Zuidhorn"
"Aerdenhout";"Bloemendaal"
"Aerdt";"Rijnwaarden"
"Afferden";"Druten"
"Afferden L";"Bergen(L.)"
"Agelo";"Dinkelland"
"Akersloot";"Castricum"
"Akkrum";"Heerenveen"
"Akmarijp";"DeFryskeMarren"
"Albergen";"Tubbergen"
"Alblasserdam";"Alblasserdam"
"Alde Leie";"Leeuwarderadeel"
"Aldeboarn";"Heerenveen"
"Aldtsjerk";"Tytsjerksteradiel"
"Alem";"Maasdriel"
"Alkmaar";"Alkmaar"
"Allingawier";"Súdwest-Fryslân"
"Almelo";"Almelo"
"Almen";"Lochem"
"Almere";"Almere"
"Almkerk";"Woudrichem"
"Alphen";"WestMaasenWaal"
"Alphen";"Alphen-Chaam"
"Alphen aan den Rijn";"AlphenaandenRijn"
"Alteveer";"Noordenveld"
"Alteveer";"Stadskanaal"
"Alteveer";"DeWolden"
"Alteveer gem Hoogeveen";"Hoogeveen"
"Altforst";"WestMaasenWaal"
"Ambt Delden";"HofvanTwente"
"Ameide";"Zederik"
"Amen";"AaenHunze"
"America";"HorstaandeMaas"
"Amerongen";"UtrechtseHeuvelrug"
"Amersfoort";"Amersfoort"
"Ammerstol";"Krimpenerwaard"
"Ammerzoden";"Maasdriel"
"Amstelhoek";"DeRondeVenen"
"Amstelveen";"Amstelveen"
"Amstenrade";"Schinnen"
"Amsterdam";"Amsterdam"
"Amsterdam-Duivendrecht";"Ouder-Amstel"
"Andel";"Woudrichem"
"Den Andel";"Winsum"
"Andelst";"Overbetuwe"
"Anderen";"AaenHunze"
"Andijk";"Medemblik"
"Ane";"Hardenberg"
"Anerveen";"Hardenberg"
"Anevelde";"Hardenberg"
"Angeren";"Lingewaard"
"Angerlo";"Zevenaar"
"Anjum";"Dongeradeel"
"Ankeveen";"Wijdemeren"
"Anloo";"AaenHunze"
"Anna Paulowna";"HollandsKroon"
"Annen";"AaenHunze"
"Annerveenschekanaal";"AaenHunze"
"Ansen";"Westerveld"
"Ansen";"DeWolden"
"Ter Apel";"Vlagtwedde"
"Apeldoorn";"Apeldoorn"
"Ter Apelkanaal";"Vlagtwedde"
