,url_heading 14,age,url_keywords starter,max_income,search_state Nee,url_keywords volgende_woning,search_state Ja,age_partner,bestaande_woning_count,total_income,url_heading 3,url_heading 1,bestaande_woning_views,calc_max_mortgage_allow_date,pref_-_news_-_interesse woningbezitter,url_mr 13,annual_income,search_state_date,private_deposits,url_keywords bestaande_woning,buy_price,language nl,url_heading 0,annual_income_partner,mortgage,brand_prospect_score,zip_code Single_persons,finance_-_private_deposits,finance_-_loan_payments_month,loan_payments,origin_detail https://www.hypotheker.nl/zelf-berekenen/hoeveel-kan-ik-lenen/,url-name De maandlasten van je hypotheek berekenen,interactions_converted bfa8bbdf-af01-4504-bfa9-c7a6f280e2cd,calculator_used,cjm-currentphase,appointment_reason hypotheek aanpassen,origin_detail https://www.hypotheker.nl/zelf-berekenen/wat-is-deze-woning-waard/,Gemeente :Bevolkingsdichtheid,interactions_clicked 0b09cf08-fdc0-4f57-a565-3c930610d64e,currentresolution 1440x900,utm_source Funda,mortgage_provider zelf kiezen,interactions_converted 711d1240-93b9-4c50-8ad9-dba8a534bf2b,zip_code Other_household_member,zip_code Bevolking,origin_detail Other,firstvisit,zip_code tienTotTwintig,current_utm_content branded,intensity,recentlyvieweditems Other,utm_medium e-mail,prospect_score,visitclicks,home_-_asking_price_exact_,currentscreenwidth,origin_detail https://www.hypotheker.nl/begrippenlijst/veelgestelde-vragen/hoeveel-eigen-geld-hypotheek/,origin_detail https://www.hypotheker.nl/rentebarometer/,zelf_berekenen_views,mortgage_type_interest aflossingsvrije hypotheek,interactions_clicked 48a49353-726f-4659-861a-224d9d6e2183,currentscreenheight,origin_detail https://www.hypotheker.nl/,url_mr 3,url-name Alles wat je moet weten als je een huis wilt kopen,mortgage_provider vergelijk alle aanbieders,visitedchannel 7ccfe17d-6859-45b3-adb1-fdda614eed7a,lastvisit is_weekend,Gemeente :Totale bevolking,browserversion Microsoft Edge 18,zip_code dertigTotVeertig,brand_-_rbs-id_-_date,appointment_reason oriënteren,interactions_viewed eb565062-a945-41f5-bd22-3216019755a9,mr_geo_geoname_id Other,url_heading 13,zip_code Couple_no_kids,zip_code Couple_with_kids,mr_geo_country_iso_code NL,visiteddomain c182d944-b8dc-40c4-8fe3-828791b99265,Gemeente :Particuliere huishoudens,sent_to_connection ab06f28a-90e7-4788-8fff-6c044b267d64,visited_url_most_recent_ https://www.google.com/,interactions_converted 0b09cf08-fdc0-4f57-a565-3c930610d64e,marital_state Samen,utm_source bing,Gemeente :Nieuwbouwwoningen,url_mr 10,entrypage https://www.hypotheker.nl/rentestanden/,zip_code veertigTotVijftig,frequency,interactions_converted b030f9d6-632f-498a-b641-527fbdb2c10e,sent_to_system webhook,utm_medium Webvertising,geo_geoname_id 2759879,url-name Jouw hypotheek,url_mr 2,url-name  op jouw manier.,loyalty_score,zip_code zestigTotZeventig,url_mr 5,currentbrowserversion Samsung Browser 0,mr_geo_country_name Netherlands,current_utm_content retargeting,currentosname Windows,engagement_score,referrerhosts www.bing.com,geo_subdivision_1_iso_code FL,browserversion Samsung Browser 0,interactions_viewed bfa8bbdf-af01-4504-bfa9-c7a6f280e2cd,Visit_part_of_day Early Morning,bouw Bestaande bouw,bouw Nieuwbouw,origin_detail https://www.hypotheker.nl/begrippenlijst/huis-kopen/kosten-aankoop-woning/,login_date,utm_source nieuwsbrief,volgende_woning_views,campaigns_with_subsequent_action Other,geo_subdivision_1_iso_code NH,firstvisit is_weekend,referrerhost www.bing.com,url_heading 4,entrypage https://www.hypotheker.nl/,currentkeywords maandlasten,currentresolution 375x667,zip_code Institutional_household,resolution 375x667,geo_subdivision_2_iso_code FL,origin_detail https://www.hypotheker.nl/rentestanden/,home_have_in_mind  ik heb een woning op het oog.,currentbrowserversion Chrome 0,referrerhost www.hypotheker.nl,mr_geo_subdivision_1_iso_code NH,geo_subdivision_1_iso_code FR,mr_geo_time_zone Europe/Amsterdam,origin_source www.hypotheker.nl,origin_detail https://www.hypotheker.nl/actueel/dossiers/huizenprijzen/huizenprijzen-per-m2-per-gemeente/,interactions_clicked 62b68156-a078-4683-9629-595ea8cee016,currentosversion Windows 7,geo_subdivision_1_name Friesland,currentkeywords hypotheker,zip_code vijftigTotZestig,averagetime,interactions_clicked Other,visited_url_most_recent_ https://www.hypotheker.nl/zelf-berekenen/kan-ik-dit-huis-betalen/,url_heading 2,resolution 375x812,utm_content Bannerlink_MLI_KIDHB,currentbrowserversion Safari 0,mr_geo_subdivision_1_iso_code VAN,zip_code Gemiddelde_leeftijd,Brand-Vestigingnummer 1035,interested_in huizenprijzen,zip_code Kid_living_with_parents,mr_geo_subdivision_1_name Antwerp Province,recent_intensity,interactions_converted Other,currentbrowserversion IE 11,visits,mr_geo_time_zone Europe/Brussels,currentresolution 360x740,current_utm_campaign 7011v000000G0LpAAK,currentkeywords hypotheeklasten,lastvisit,visit_time 8 PM - 9 PM,zip_code nulTotTien,currentosname OS X,language pl,visited_url_most_recent_ https://www.google.nl/,osversion Windows 7,clickcount,sent_to_connection Other,testgroup 8,mr_geo_latlong 52.3824,utm_term jazeker de hypotheker,osversion Android 10.x,home_have_in_mind ik heb een koop­overeenkomst getekend.,mr_geo_country_iso_code ES,current_utm_term hypotheker.nl,search volgende_woning,mr_geo_latlong 4.8802,entrypage https://www.hypotheker.nl/zelf-berekenen/hoeveel-kan-ik-lenen/,mr_geo_latlong 52.3564,utm_source Google,keywords maandlasten,utm_campaign 7011v000000KF1pAAG/,url_heading 5,zip_code Private_households
24155,0,49.0,0.0,75.0,0,0.0,1,50.0,0.0,125.0,0,0,0.0,0,0,0,50.0,1,50.0,0.0,625.0,1,1,75.0,0.0,12.0,0.22164614387556708,50.0,0.0,0.0,0,0,0,1,4.0,0,0,1703.0,0,0,0,0,0,0.018794556059624108,7715.0,0,1585318500305,0.1091283459162663,1,100,1,0,4.0,2,625.0,320.0,0,0,2.0,0,0,568.0,0,1,0,1,0,0,107490.0,0,0.14275909402882636,0,0,0,0,0,0.18405703175631885,0.1957226182760856,1,0,45.9,0,1,0,1,0,393.0,0,0,0.1276595744680851,100,1,0,0,0,0,0,0,1.0,0.0789293067947838,0,0,1,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.04601425793907971,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0.11324639670555935,0.0,0,0,0,0,0,0,0,39.8713109128346,0,0,0.2845106934543098,0,72,0,0,1.0,0,0,0,0,1585319080677,1,0.12422786547700755,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.9539857420609202
23559,0,30.0,0.0,39.0,0,0.0,1,31.0,0.0,74.712,0,0,0.0,1,0,0,39.0,1,25.0,0.0,300.0,1,1,30.0,0.0,10.0,0.21951864586088335,0.0,0.0,0.0,0,0,0,1,2.0,0,0,5111.0,0,0,0,0,0,0.0166622586617297,18905.0,0,1571473877661,0.1087248322147651,1,19,0,0,4.0,1,300.0,810.0,0,0,1.0,0,0,1080.0,0,1,0,1,0,0,844947.0,0,0.15651006711409396,0,0,0,0,0,0.2689764612536366,0.20206294631049987,1,0,423.4,0,0,0,0,0,4914.0,0,0,0.17342281879194632,24,0,0,0,0,0,0,0,1.0,0.10228187919463087,0,0,1,0,0,1.0,0,0,0,0,0,1,0,0,0,0,0.0,0,1,1,0,0,0,0,0,0.002644802962179317,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0.1916778523489933,278.0,0,0,0,0,0,0,0,39.200671140939605,0,0,0.24173499074318966,0,50,0,0,2.0,0,0,0,0,1584984496402,1,0.1025503355704698,1,0,1,0,3.0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,1,0.9973551970378208
4819,0,31.0,0.0,45.0,0,0.0,1,31.0,0.0,74.712,0,0,0.0,1,0,0,43.616,0,25.0,0.0,300.0,0,0,30.0,0.0,5.0,0.36115843270868825,0.0,0.0,0.0,0,0,0,1,2.0,0,0,5111.0,0,0,0,0,0,0.02759795570698467,14675.0,1,1585743887892,0.057259713701431486,1,100,0,0,2.0,2,300.0,1920.0,0,0,0.0,0,0,1080.0,0,0,1,1,0,0,844947.0,0,0.20177232447171095,0,0,0,0,0,0.25826235093696764,0.13662691652470188,1,0,423.4,0,1,0,0,0,4914.0,0,0,0.12440354464894343,100,0,0,0,0,1,0,1,1.0,0.08861622358554874,0,0,1,0,1,0.0,0,0,0,0,0,1,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0.008517887563884156,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0.10804362644853442,0.0,0,0,0,0,0,0,0,39.56032719836401,0,0,0.16558773424190804,0,75,0,0,1.0,0,0,0,0,1585744832270,1,0.0845262440354465,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0.9914821124361158
25162,0,31.0,0.0,45.0,0,0.0,1,31.0,0.0,74.712,0,0,0.0,1,0,0,43.616,1,25.0,0.0,300.0,1,0,30.0,0.0,6.0,0.1436950146627566,0.0,0.0,0.0,0,0,0,1,2.0,0,0,608.0,0,0,0,0,0,0.00879765395894428,6820.0,1,1585154108605,0.12014652014652015,1,100,1,1,20.0,1,300.0,1600.0,0,0,0.0,0,0,900.0,0,0,0,1,1,0,32379.0,1,0.09084249084249084,0,0,0,1,0,0.31231671554252194,0.2280058651026393,1,1,14.6,0,0,0,0,0,66.0,3,0,0.1326007326007326,100,0,0,0,0,0,0,0,5.0,0.16263736263736264,0,0,1,0,1,9.0,0,0,0,0,0,1,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0.016862170087976542,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0.13553113553113552,1068.0,0,0,0,0,0,0,0,46.075091575091584,0,0,0.2565982404692082,0,100,0,0,2.0,0,0,0,0,1585250626456,0,0.09010989010989012,0,0,0,0,6.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.9831378299120236
13281,0,35.0,0.0,53.0,0,0.0,1,28.0,0.0,77.0,0,0,0.0,1,0,0,53.0,0,25.0,0.0,300.0,1,0,24.0,0.0,20.0,0.08859470468431772,0.0,0.0,0.0,0,0,0,4,2.0,0,0,1193.0,0,0,0,0,0,0.011201629327902241,9820.0,1,1581364862230,0.14741883980840872,1,97,0,1,26.0,2,300.0,1920.0,0,0,2.0,0,0,1080.0,0,1,0,1,1,0,46352.0,0,0.15061202767429482,0,0,0,1,0,0.21079429735234212,0.3167006109979633,1,1,19.5,1,0,0,0,0,75.0,0,0,0.17615753060138373,100,0,0,0,0,0,0,0,4.0,0.08568387440127727,0,0,1,0,1,8.0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.003054989816700611,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0.12187333688131985,19.0,0,0,0,0,0,0,0,36.50745077168707,0,0,0.34521384928716903,0,100,0,0,3.0,0,0,0,0,1584962429556,0,0.15806279936136242,0,0,0,1,5.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0.9969450101832994
34357,0,20.0,1.0,180.0,0,0.0,1,31.0,0.0,74.712,1,0,0.0,0,0,0,180.0,1,10.0,0.0,200.0,1,1,30.0,0.0,16.0,0.1707147814018043,10.0,0.0,0.0,0,0,0,1,4.0,0,0,2223.0,0,0,0,0,0,0.015267175572519085,7205.0,0,1581463946696,0.10327983251919053,1,98,1,0,16.0,4,200.0,375.0,1,0,4.0,0,0,667.0,0,2,0,1,0,1,40709.0,0,0.13189113747383113,0,0,0,1,0,0.27064538514920194,0.2387231089521166,1,0,18.5,1,0,0,0,0,71.0,0,0,0.13119330076762034,73,1,0,0,0,0,0,0,4.0,0.12909979064898813,0,0,1,0,0,3.0,0,0,0,0,1,1,0,0,0,0,0.0,0,1,0,0,0,0,0,1,0.0013879250520471894,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0.14305652477320308,0.0,0,0,0,0,0,0,0,41.980111653873,0,0,0.2623178348369188,0,100,0,0,2.0,0,0,0,0,1584863918892,0,0.10537334263782276,0,0,0,0,5.0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,1,0.9986120749479528
31702,0,34.0,0.0,51.6,1,0.0,0,31.0,0.0,84.6,0,0,0.0,1,0,0,51.6,1,25.0,0.0,300.0,1,0,33.0,0.0,0.0,0.11254538120209763,0.0,0.0,0.0,1,0,0,1,2.0,0,0,1300.0,0,0,0,0,0,0.00927793465106898,12395.0,0,1583611852060,0.13098134630981345,1,71,0,0,4.0,2,300.0,414.0,0,0,1.0,0,0,896.0,0,0,0,1,0,1,105632.0,0,0.10786699107866993,0,0,0,1,0,0.25534489713594194,0.2791448164582493,1,0,43.9,0,1,0,0,0,554.0,0,0,0.14274128142741282,66,0,0,0,0,0,0,0,1.0,0.1021897810218978,0,0,1,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0.008067769261799113,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0.14030819140308193,0.0,0,0,0,0,0,0,0,40.985401459854025,0,0,0.3114158935054457,0,59,0,0,1.0,0,0,0,0,1583612102633,1,0.10989456609894566,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,1,0.9919322307382008
28351,0,33.0,0.0,40.0,0,1.0,1,34.0,0.0,50.0,0,0,0.0,1,0,0,10.0,1,25.0,0.0,300.0,1,2,40.0,0.0,14.0,0.18539502675480013,0.0,245.0,245.0,0,0,0,2,4.0,0,0,1122.0,0,0,0,0,0,0.018570978910922253,15885.0,1,1582960474280,0.1393596986817326,1,100,1,0,18.0,0,300.0,360.0,0,0,3.0,0,0,780.0,0,3,0,1,0,1,158140.0,0,0.10012554927809167,0,0,0,1,0,0.2215926975133774,0.20837267862763612,1,0,69.1,1,0,0,0,0,480.0,0,0,0.12554927809165098,100,0,0,0,0,0,0,0,5.0,0.11487758945386065,0,0,1,0,0,9.0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0.025495750708215296,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0.13214061519146264,129.0,0,0,1,0,0,0,0,43.11989956057754,0,0,0.29335851432168714,0,100,0,0,2.0,0,0,0,0,1585511216106,0,0.10232266164469554,0,0,0,0,6.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0.9745042492917848
3660,0,26.0,0.0,40.24,0,0.0,1,31.0,0.0,74.712,0,0,0.0,1,0,0,40.24,0,25.0,0.0,300.0,1,0,30.0,0.0,0.0,0.22793606671299516,0.0,135.0,135.0,1,0,0,1,2.0,0,0,334.0,0,0,0,0,0,0.015983321751216122,7195.0,0,1585630820554,0.09957924263674614,1,100,0,0,4.0,2,300.0,375.0,0,0,2.0,0,0,812.0,0,1,0,1,0,0,76937.0,0,0.15497896213183732,0,0,0,1,0,0.22446143154968728,0.20361362056984014,1,0,32.8,0,0,0,0,0,146.0,0,0,0.1276297335203366,100,0,0,0,0,0,0,0,1.0,0.1297335203366059,0,0,1,0,0,0.0,0,1,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.01737317581653926,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0.10659186535764376,0.0,0,0,0,1,0,0,0,42.15287517531557,0,0,0.2599027102154274,0,75,0,0,1.0,0,0,0,0,1585631083770,1,0.12272089761570827,0,0,1,0,2.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0.9826268241834608
9668,0,29.0,0.0,48.585,0,0.0,1,35.0,0.0,74.58500000000001,0,1,0.0,0,0,0,48.585,1,25.0,0.0,300.0,1,0,26.0,375.0,4.0,0.14908256880733944,0.0,0.0,0.0,0,0,1,1,3.0,0,0,208.0,0,0,0,0,0,0.01834862385321101,6540.0,0,1583867433800,0.12037037037037035,1,100,0,0,6.0,3,300.0,375.0,0,0,1.0,0,0,812.0,0,0,0,1,0,0,32537.0,0,0.09104938271604937,0,0,0,1,0,0.3073394495412844,0.23318042813455656,1,0,13.9,0,0,0,0,0,55.0,0,0,0.12962962962962962,73,0,0,0,0,0,0,0,2.0,0.1550925925925926,0,0,1,0,0,1.0,0,0,0,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.01834862385321101,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0.1566358024691358,0.0,0,0,0,1,0,0,0,46.064814814814824,0,0,0.25229357798165136,0,91,0,0,1.0,0,0,0,0,1583867560689,1,0.08487654320987655,0,0,1,0,3.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0.981651376146789
